areaCode,areaID
395104,agrigento
3951040,agrigento
3911030,alessandria
391103,alessandria
3933010,ancona
393301,ancona
393104,arezzo
3931040,arezzo
393304001,ascoli_piceno
393304,ascoli_piceno
391105,asti
3911050,asti
394304,avellino
3943040,avellino
394401,bari
3944010,bari
3923070,belluno
392307,belluno
394305,benevento
3943050,benevento
3914030,bergamo
391403,bergamo
3911060,biella
391106,biella
3925010,bologna
392501,bologna
391402,brescia
3914020,brescia
394405,brindisi
3944050,brindisi
3952010,cagliari
395201,cagliari
391105027,calliano
3921061,calliano
395108,caltanissetta
395108001,caltanissetta
394303,caserta
3943030,caserta
394402079,castro
391403168,castro
395102,catania
3951020,catania
3946010,catanzaro
394601,catanzaro
391101297,chiesanuova
37803,chiesanuova
394102,chieti
3941020,chieti
3914060,como
391406,como
394602001,cosenza
394602,cosenza
3914090,cremona
391409,cremona
394604,crotone
3946040,crotone
391102,cuneo
3911020,cuneo
3951090,enna
395109,enna
393305,fermo
3933050,fermo
3925070,ferrara
392507,ferrara
3931010,firenze
393101,firenze
394403,foggia
3944030,foggia
3913010,genova
391301,genova
3924040,gorizia
392404,gorizia
393109,grosseto
3931090,grosseto
391304,imperia
391304001,imperia
3942020,isernia
394202,isernia
3913030,la_spezia
391303,la_spezia
3941010,laquila
394101,laquila
393402,latina
3934020,latina
3944020,lecce
394402,lecce
3914100,lecco
391410,lecco
391406146,livo
3921118,livo
3931050,livorno
393105,livorno
391411,lodi
3914110,lodi
3931030,lucca
393103,lucca
393303001,macerata
393303,macerata
391408,mantova
3914080,mantova
394502,matera
3945020,matera
395103,messina
3951030,messina
3914010,milano
391401,milano
3925020,modena
392502,modena
394301,napoli
3943010,napoli
3911040,novara
391104,novara
3952040,nuoro
395204,nuoro
3952050,oristano
395205,oristano
392302,padova
3923020,padova
395101,palermo
3951010,palermo
392504,parma
3925040,parma
394501031,paterno
395102003,paterno
391407,pavia
3914070,pavia
393302046,peglio
391406145,peglio
3932010,perugia
393201,perugia
3941030,pescara
394103,pescara
392509,piacenza
3925090,piacenza
393102,pisa
3931020,pisa
393106,pistoia
3931060,pistoia
392402,pordenone
3924020,pordenone
3945010,potenza
394501,potenza
393108,prato
3931080,prato
3951070,ragusa
395107,ragusa
3925060,ravenna
392506,ravenna
394603,reggio_calabria
3946030,reggio_calabria
392503,reggio_emilia
3925030,reggio_emilia
3934050,rieti
393405,rieti
3925080,rimini
392508,rimini
393401,roma
3934010,roma
392306,rovigo
3923060,rovigo
394302,salerno
3943020,salerno
3921140,samone
391101155,samone
395202015,san_teodoro
395103070,san_teodoro
395202,sassari
3952020,sassari
3913020,savona
391302,savona
393107,siena
3931070,siena
3951060,siracusa
395106,siracusa
391412,sondrio
3914120,sondrio
394404,taranto
3944040,taranto
3941040,teramo
394104,teramo
393202,terni
3932020,terni
3911010,torino
391101,torino
395105,trapani
395105001,trapani
392304,treviso
3923040,treviso
392403,trieste
3924030,trieste
392401,udine
3924010,udine
4104,uri
395202029,uri
391404,varese
391404001,varese
3923010,venezia
392301,venezia
3911070,vercelli
391107,vercelli
3923030,verona
392303,verona
3946050,vibo_valentia
394605,vibo_valentia
3923050,vicenza
392305,vicenza
3934040,viterbo
393404,viterbo
